RESERVOIR,Date,Full Capacity (mcft),Full Tank Level (ft.),Level (ft),Outflow (cusecs),Rainfall (mm),Storage (mcft),Storage Level (%),Storage as on same day last year (mcft)
TOTAL,06-02-2025,"13,222.00",-,-,"1,362.00",0.0,"11,526.15",87.17,"10,005.00"
TOTAL,06-12-2024,"13,222.00",-,-,520.00,0.0,"9,421.57",71.26,"12,019.00"
TOTAL,07-03-2024,"13,222.00",-,-,"1,055.00",0.0,"8,764.00",66.28,"10,549.87"
TOTAL,07-09-2024,"13,222.00",-,-,560.00,81.0,"4,734.00",35.80,"8,157.95"
TOTAL,08-10-2023,"13,222.00",-,-,"1,186.00",34.8,"9,460.80",71.55,"7,909.92"
TOTAL,09-03-2024,"13,222.00",-,-,"1,189.00",0.0,"8,704.00",65.83,"10,440.52"
TOTAL,09-04-2023,"13,222.00",-,-,782.00,0.0,"9,046.20",68.42,"9,003.60"
TOTAL,10-06-2023,"13,222.00",-,-,877.00,27.0,"6,977.80",52.77,"7,893.25"
TOTAL,10-12-2023,"13,222.00",-,-,"4,519.00",0.0,"11,603.00",87.76,"9,977.70"
TOTAL,11-02-2023,"13,222.00",-,-,414.00,0.0,"10,326.00",78.10,"10,458.00"
TOTAL,11-05-2023,"13,222.00",-,-,730.00,0.0,"7,757.80",58.67,"7,699.80"
TOTAL,12-06-2024,"13,222.00",-,-,603.00,60.0,"6,118.20",46.27,"6,950.40"
TOTAL,12-07-2023,"13,222.00",-,-,690.00,0.0,"7,634.00",57.74,"8,618.80"
TOTAL,13-07-2024,"13,222.00",-,-,451.00,223.0,"5,800.17",43.87,"7,729.20"
TOTAL,13-09-2024,"13,222.00",-,-,517.00,0.0,"4,550.40",34.42,"8,202.45"
TOTAL,14-02-2024,"13,222.00",-,-,695.00,0.0,"9,649.00",72.98,"11,586.50"
TOTAL,14-12-2023,"13,222.00",-,-,"1,113.00",0.0,"11,650.00",88.11,"10,939.20"
TOTAL,15-09-2023,"13,222.00",-,-,877.00,14.8,"8,232.95",62.27,"8,670.00"
TOTAL,15-10-2023,"13,222.00",-,-,"1,097.00",22.0,"9,176.00",69.40,"6,876.00"
TOTAL,15-11-2024,"13,222.00",-,-,994.00,99.8,"6,067.20",45.89,"9,579.00"
TOTAL,16-01-2025,"13,222.00",-,-,"1,065.00",0.0,"11,552.20",87.37,"10,951.00"
TOTAL,16-11-2023,"13,222.00",-,-,502.00,60.4,"9,728.00",73.57,"8,772.60"
TOTAL,17-12-2023,"13,222.00",-,-,978.00,0.0,"11,713.00",88.59,"11,233.05"
TOTAL,18-01-2024,"13,222.00",-,-,508.00,0.0,"10,897.00",82.42,"11,818.70"
TOTAL,18-02-2024,"13,222.00",-,-,702.00,0.0,"9,469.00",71.62,"11,419.85"
TOTAL,18-05-2025,"13,222.00",-,-,870.00,46.0,"7,628.40",57.69,"5,920.00"
TOTAL,18-06-2024,"13,222.00",-,-,567.00,154.0,"6,449.50",48.78,"6,755.50"
TOTAL,20-03-2025,"13,222.00",-,-,511.00,0.0,"9,892.20",74.82,"8,384.00"
TOTAL,20-04-2024,"13,222.00",-,-,693.00,0.0,"7,110.00",53.77,"8,515.50"
TOTAL,22-05-2025,"13,222.00",-,-,521.00,0.0,"7,857.45",59.43,"5,778.00"
TOTAL,23-11-2023,"13,222.00",-,-,722.00,118.4,"9,958.00",75.31,"8,648.70"
TOTAL,24-07-2024,"13,222.00",-,-,506.00,9.0,"5,622.70",42.53,"7,862.70"
TOTAL,24-09-2024,"13,222.00",-,-,"1,221.00",142.8,"4,174.60",31.57,"8,629.60"
TOTAL,25-08-2023,"13,222.00",-,-,596.00,0.0,"8,046.35",60.86,"9,052.00"
TOTAL,25-10-2024,"13,222.00",-,-,"1,381.00",2.0,"5,980.05",45.23,"9,245.00"
TOTAL,26-10-2023,"13,222.00",-,-,"1,232.00",0.0,"9,153.00",69.23,"7,673.20"
TOTAL,26-11-2023,"13,222.00",-,-,808.00,115.6,"10,051.00",76.02,"8,795.70"
TOTAL,27-02-2025,"13,222.00",-,-,495.00,0.0,"10,717.70",81.06,"9,105.00"
TOTAL,27-12-2024,"13,222.00",-,-,"1,463.00",104.0,"11,458.02",86.66,"11,215.00"
TOTAL,28-01-2024,"13,222.00",-,-,727.00,0.0,"10,434.00",78.91,"12,088.95"
TOTAL,29-02-2024,"13,222.00",-,-,547.00,0.0,"9,031.00",68.30,"10,991.27"
TOTAL,29-06-2025,"13,222.00",-,-,512.00,10.0,"7,759.42",58.69,"6,160.02"
TOTAL,31-08-2023,"13,222.00",-,-,590.00,43.0,"8,190.20",61.94,"8,991.00"
VEERANAM,01-03-2024,1465.00,47.50,38.70,-,0.0,-,-,1160.92
VEERANAM,01-07-2024,1465.00,47.50,46.65,73.00,1.0,1258.32,85.89,302.00
VEERANAM,02-06-2025,1465.00,47.50,47.35,74.00,0.0,1428.55,97.51,384.00
VEERANAM,02-08-2024,1465.00,47.50,44.60,73.00,6.0,784.70,53.56,924.45
VEERANAM,03-10-2024,1465.00,47.50,43.25,475.00,0.0,548.00,37.41,441.40
VEERANAM,05-01-2025,1465.00,47.50,46.45,564.00,0.0,1209.62,82.57,490.00
VEERANAM,05-08-2024,1465.00,47.50,45.30,1455.00,3.0,935.20,63.84,956.70
VEERANAM,06-02-2025,1465.00,47.50,46.60,422.00,0.0,1246.15,85.06,228.00
VEERANAM,06-12-2024,1465.00,47.50,46.15,140.00,0.0,1136.57,77.58,990.00
VEERANAM,07-03-2024,1465.00,47.50,37.80,-,0.0,-,-,1087.87
VEERANAM,07-09-2024,1465.00,47.50,44.00,102.00,0.0,671.00,45.80,902.95
VEERANAM,08-10-2023,1465.00,47.50,41.70,284.00,0.0,293.80,20.05,1160.92
VEERANAM,09-03-2024,1465.00,47.50,37.60,-,0.0,-,-,1063.52
VEERANAM,09-04-2023,1465.00,47.50,44.30,62.00,0.0,720.20,49.16,531.60
VEERANAM,10-06-2023,1465.00,47.50,41.20,52.00,0.0,211.80,14.46,98.25
VEERANAM,10-12-2023,1465.00,47.50,45.80,74.00,0.0,1051.00,71.74,870.70
VEERANAM,11-02-2023,1465.00,47.50,-,-,0.0,-,-,-
VEERANAM,11-05-2023,1465.00,47.50,42.70,61.00,0.0,457.80,31.25,334.80
VEERANAM,12-06-2024,1465.00,47.50,45.30,62.00,0.0,935.20,63.84,195.40
VEERANAM,12-07-2023,1465.00,47.50,42.75,38.00,0.0,466.00,31.81,334.80
VEERANAM,13-07-2024,1465.00,47.50,45.75,72.00,10.0,1039.17,70.93,556.20
VEERANAM,13-09-2024,1465.00,47.50,43.85,73.00,0.0,646.40,44.12,838.45
VEERANAM,14-02-2024,1465.00,47.50,40.35,148.00,0.0,123.00,8.40,1343.50
VEERANAM,14-12-2023,1465.00,47.50,45.50,283.00,0.0,978.00,66.76,892.20
VEERANAM,15-09-2023,1465.00,47.50,44.75,124.00,0.0,816.95,55.76,1465.00
VEERANAM,15-10-2023,1465.00,47.50,40.70,148.00,0.0,153.00,10.44,-
VEERANAM,15-11-2024,1465.00,47.50,45.10,248.00,9.0,892.20,60.90,773.00
VEERANAM,16-01-2025,1465.00,47.50,45.50,424.00,0.0,978.20,66.77,564.00
VEERANAM,16-11-2023,1465.00,47.50,45.15,57.00,0.0,902.00,61.57,695.60
VEERANAM,17-12-2023,1465.00,47.50,45.20,249.00,0.0,913.00,62.32,1100.05
VEERANAM,18-01-2024,1465.00,47.50,43.30,125.00,0.0,556.00,37.95,956.70
VEERANAM,18-02-2024,1465.00,47.50,39.85,148.00,0.0,81.00,5.53,1294.85
VEERANAM,18-05-2025,1465.00,47.50,43.10,72.00,46.0,523.40,35.73,-
VEERANAM,18-06-2024,1465.00,47.50,47.00,73.00,46.0,1343.50,91.71,136.50
VEERANAM,20-03-2025,1465.00,47.50,44.70,74.00,0.0,806.20,55.03,-
VEERANAM,20-04-2024,1465.00,47.50,-,-,0.0,-,-,630.50
VEERANAM,22-05-2025,1465.00,47.50,44.65,73.00,0.0,795.45,54.30,-
VEERANAM,23-11-2023,1465.00,47.50,45.85,281.00,7.0,1063.00,72.56,741.70
VEERANAM,24-07-2024,1465.00,47.50,45.20,73.00,0.0,913.70,62.37,827.70
VEERANAM,24-09-2024,1465.00,47.50,42.90,822.00,0.0,490.60,33.49,654.60
VEERANAM,25-08-2023,1465.00,47.50,45.80,141.00,0.0,1051.35,71.76,1465.00
VEERANAM,25-10-2024,1465.00,47.50,46.00,564.00,2.0,1100.05,75.09,441.00
VEERANAM,26-10-2023,1465.00,47.50,42.35,285.00,0.0,400.00,27.30,978.20
VEERANAM,26-11-2023,1465.00,47.50,45.95,395.00,110.0,1087.00,74.20,784.70
VEERANAM,27-02-2025,1465.00,47.50,45.20,74.00,0.0,913.70,62.37,9.00
VEERANAM,27-12-2024,1465.00,47.50,46.85,282.00,6.0,1307.02,89.22,703.00
VEERANAM,28-01-2024,1465.00,47.50,42.30,190.00,0.0,392.00,26.76,1379.95
VEERANAM,29-02-2024,1465.00,47.50,38.75,1.00,0.0,-,-,1185.27
VEERANAM,29-06-2025,1465.00,47.50,45.55,74.00,7.0,990.42,67.61,1307.02
VEERANAM,31-08-2023,1465.00,47.50,45.50,141.00,0.0,978.20,66.77,1465.00
