RESERVOIR,Date,Full Capacity (mcft),Full Tank Level (ft.),Level (ft),Outflow (cusecs),Rainfall (mm),Storage (mcft),Storage Level (%),Storage as on same day last year (mcft)
CHEMBARAMBAKKAM,29-02-2024,3645.00,85.40,83.19,130.00,0.0,3064.00,84.06,3035.00
CHEMBARAMBAKKAM,29-06-2025,3645.00,85.40,77.19,156.00,0.0,1679.00,46.06,1552.00
CHEMBARAMBAKKAM,31-08-2023,3645.00,85.40,81.86,150.00,0.0,2718.00,74.57,3279.00
CHOLAVARAM,01-03-2024,1081.00,65.50,62.76,16.00,0.0,747.00,69.10,831.00
CHOLAVARAM,01-07-2024,1081.00,65.50,49.35,5.00,2.0,124.00,11.47,246.00
CHOLAVARAM,02-06-2025,1081.00,65.50,50.08,6.00,0.0,145.00,13.41,104.00
CHOLAVARAM,02-08-2024,1081.00,65.50,48.66,12.00,0.0,105.00,9.71,107.00
CHOLAVARAM,03-10-2024,1081.00,65.50,46.87,1.00,3.0,62.00,5.74,442.00
CHOLAVARAM,05-01-2025,1081.00,65.50,58.67,1.00,0.0,503.00,46.53,777.00
CHOLAVARAM,05-08-2024,1081.00,65.50,48.54,12.00,22.6,102.00,9.44,107.00
CHOLAVARAM,06-02-2025,1081.00,65.50,50.38,210.00,0.0,154.00,14.25,771.00
CHOLAVARAM,06-12-2024,1081.00,65.50,52.08,1.00,0.0,211.00,19.52,1081.00
CHOLAVARAM,07-03-2024,1081.00,65.50,61.58,416.00,0.0,671.00,62.07,831.00
CHOLAVARAM,07-09-2024,1081.00,65.50,46.69,1.00,26.0,58.00,5.37,126.00
CHOLAVARAM,08-10-2023,1081.00,65.50,58.51,10.00,2.0,494.00,45.70,142.00
CHOLAVARAM,09-03-2024,1081.00,65.50,59.98,551.00,0.0,575.00,53.19,831.00
CHOLAVARAM,09-04-2023,1081.00,65.50,63.73,20.00,0.0,812.00,75.12,439.00
CHOLAVARAM,10-06-2023,1081.00,65.50,60.37,220.00,0.0,598.00,55.32,131.00
CHOLAVARAM,10-12-2023,1081.00,65.50,63.40,1456.00,0.0,790.00,73.08,554.00
CHOLAVARAM,11-02-2023,1081.00,65.50,63.99,15.00,0.0,831.00,76.87,882.00
CHOLAVARAM,11-05-2023,1081.00,65.50,62.84,20.00,0.0,753.00,69.66,131.00
CHOLAVARAM,12-06-2024,1081.00,65.50,48.74,8.00,21.0,107.00,9.90,560.00
CHOLAVARAM,12-07-2023,1081.00,65.50,49.66,220.00,0.0,132.00,12.21,132.00
CHOLAVARAM,13-07-2024,1081.00,65.50,49.70,3.00,57.0,134.00,12.40,116.00
CHOLAVARAM,13-09-2024,1081.00,65.50,46.69,1.00,0.0,58.00,5.37,127.00
CHOLAVARAM,14-02-2024,1081.00,65.50,63.00,16.00,0.0,763.00,70.58,831.00
CHOLAVARAM,14-12-2023,1081.00,65.50,62.63,16.00,0.0,739.00,68.36,782.00
CHOLAVARAM,15-09-2023,1081.00,65.50,49.47,25.00,0.0,127.00,11.75,134.00
CHOLAVARAM,15-10-2023,1081.00,65.50,58.76,10.00,0.0,507.00,46.90,164.00
CHOLAVARAM,15-11-2024,1081.00,65.50,49.02,1.00,11.0,115.00,10.64,636.00
CHOLAVARAM,16-01-2025,1081.00,65.50,55.85,10.00,0.0,364.00,33.67,791.00
CHOLAVARAM,16-11-2023,1081.00,65.50,61.11,12.00,16.6,642.00,59.39,404.00
CHOLAVARAM,17-12-2023,1081.00,65.50,62.94,16.00,0.0,760.00,70.31,822.00
CHOLAVARAM,18-01-2024,1081.00,65.50,63.41,16.00,0.0,791.00,73.17,831.00
CHOLAVARAM,18-02-2024,1081.00,65.50,62.94,16.00,0.0,759.00,70.21,831.00
CHOLAVARAM,18-05-2025,1081.00,65.50,49.90,6.00,0.0,140.00,12.95,105.00
CHOLAVARAM,18-06-2024,1081.00,65.50,49.08,8.00,12.0,116.00,10.73,446.00
CHOLAVARAM,20-03-2025,1081.00,65.50,49.84,6.00,0.0,138.00,12.77,223.00
CHOLAVARAM,20-04-2024,1081.00,65.50,52.18,8.00,0.0,215.00,19.89,801.00
CHOLAVARAM,22-05-2025,1081.00,65.50,50.08,6.00,0.0,145.00,13.41,104.00
CHOLAVARAM,23-11-2023,1081.00,65.50,61.91,12.00,35.4,692.00,64.01,435.00
CHOLAVARAM,24-07-2024,1081.00,65.50,49.21,23.00,0.0,120.00,11.10,90.00
CHOLAVARAM,24-09-2024,1081.00,65.50,46.78,1.00,55.4,60.00,5.55,145.00
CHOLAVARAM,25-08-2023,1081.00,65.50,48.91,25.00,0.0,112.00,10.36,131.00
CHOLAVARAM,25-10-2024,1081.00,65.50,49.87,96.00,0.0,139.00,12.86,555.00
CHOLAVARAM,26-10-2023,1081.00,65.50,59.93,10.00,0.0,572.00,52.91,184.00
CHOLAVARAM,26-11-2023,1081.00,65.50,62.48,12.00,0.0,729.00,67.44,467.00
CHOLAVARAM,27-02-2025,1081.00,65.50,49.88,6.00,0.0,139.00,12.86,750.00
CHOLAVARAM,27-12-2024,1081.00,65.50,51.34,1.00,8.0,186.00,17.21,777.00
CHOLAVARAM,28-01-2024,1081.00,65.50,63.25,16.00,0.0,780.00,72.16,831.00
CHOLAVARAM,29-02-2024,1081.00,65.50,62.77,16.00,0.0,748.00,69.20,831.00
CHOLAVARAM,29-06-2025,1081.00,65.50,50.40,6.00,2.0,155.00,14.34,124.00
